Sr No,Project,URL,Number of revert comits,Actual commits,percentage of revert commits
1,Play Framework,https://github.com/playframework/playframework,12,5125,0.234146341
2,AngularJS,https://github.com/angular/angular.js.git,87,5956,1.460711887
3,Ember.js,https://github.com/emberjs/ember.js,65,7462,0.871080139
4,Elasticsearch,https://github.com/elasticsearch/elasticsearch.git,46,9847,0.467147355
5,Cassandra,http://git-wip-us.apache.org/repos/asf/cassandra.git,147,15179,0.968443244
6,gs-collections,https://github.com/goldmansachs/gs-collections.git,0,616,0
7,D3.js,https://github.com/mbostock/d3,11,3277,0.335672872
8,Guice,https://github.com/google/guice,4,1369,0.292184076
9,JQuery,https://github.com/jquery/jquery,40,2913,1.373154823
10,Modernizr,https://github.com/Modernizr/Modernizr,6,1840,0.326086957
